symbol,organ_name,icb_name,exchange
MIC,Công ty Cổ phần Kỹ nghệ Khoáng sản Quảng Nam,Nguyên vật liệu,HNX
MIM,Công ty Cổ phần Khoáng sản và Cơ khí,Nguyên vật liệu,UPCOM
C12,Công ty Cổ phần Cầu 12,Công nghiệp,UPCOM
CT3,Công ty Cổ phần Đầu tư và Xây dựng công trình 3,Công nghiệp,UPCOM
D2D,Công ty Cổ phần Phát triển Đô thị Công nghiệp số 2,Tài chính,HOSE
MBT,Công ty Cổ phần Bất động sản cho thuê Minh Bảo Tín,Tài chính,UPCOM
MLS,Công ty Cổ phần Chăn nuôi - Mitraco,Hàng Tiêu dùng,UPCOM
MLC,Công ty Cổ phần Môi trường Đô thị Tỉnh Lào Cai,Công nghiệp,UPCOM
MH3,Công ty Cổ phần Khu công nghiệp Cao su Bình Long,Tài chính,UPCOM
HKB,Công ty Cổ phần Nông nghiệp và Thực phẩm Hà Nội - Kinh Bắc,Hàng Tiêu dùng,UPCOM
DAC,Công ty Cổ phần 382 Đông Anh,Công nghiệp,UPCOM
CIG,Công ty Cổ phần COMA 18,Công nghiệp,HOSE
MZG,Công ty Cổ Phần Miza,Nguyên vật liệu,UPCOM
MML,Công ty Cổ phần Masan MEATLife,Hàng Tiêu dùng,UPCOM
HPT,Công ty Cổ phần Dịch vụ Công nghệ Tin học HPT,Công nghệ Thông tin,UPCOM
DAE,Công ty Cổ phần Sách Giáo dục tại Thành phố Đà Nẵng,Dịch vụ Tiêu dùng,HNX
DMC,Công ty Cổ phần Xuất nhập khẩu Y tế DOMESCO,Dược phẩm và Y tế,HOSE
HLD,Công ty Cổ phần Đầu tư và Phát triển Bất động sản HUDLAND,Tài chính,HNX
MPC,Công ty Cổ phần Tập đoàn Thủy sản Minh Phú,Hàng Tiêu dùng,UPCOM
RYG,Công ty Cổ phần Sản xuất và Đầu tư Hoàng Gia,Công nghiệp,HOSE
MQB,Công ty Cổ phần Môi trường và Phát triển đô thị Quảng Bình,Công nghiệp,UPCOM
MCH,Công ty Cổ phần Hàng Tiêu Dùng MaSan,Hàng Tiêu dùng,UPCOM
BMF,Công ty Cổ phần Vật liệu Xây dựng và Chất đốt Đồng Nai,Tiện ích Cộng đồng,UPCOM
BVL,Công ty Cổ phần BV Land,Tài chính,UPCOM
SGI,Công ty Cổ phần Đầu tư SGI Holdings,Hàng Tiêu dùng,UPCOM
HWS,Công ty Cổ phần Cấp nước Huế,Tiện ích Cộng đồng,UPCOM
VTG,Công ty Cổ phần Du lịch tỉnh Bà Rịa - Vũng Tàu,Dịch vụ Tiêu dùng,UPCOM
GIC,Công ty Cổ phần VSC Green Logistics,Công nghiệp,HNX
BCA,Công ty cổ phần B.C.H,Nguyên vật liệu,UPCOM
MSR,Công ty Cổ phần Masan High-Tech Materials,Nguyên vật liệu,UPCOM
MST,Công ty Cổ phần Đầu tư MST,Công nghiệp,HNX
BTG,Công ty Cổ phần Bao bì Tiền Giang,Công nghiệp,UPCOM
CNA,Công ty Cổ phần Tổng công ty Chè Nghệ An,Hàng Tiêu dùng,UPCOM
MTG,Công ty Cổ phần MT Gas,Tiện ích Cộng đồng,UPCOM
MTH,Công ty Cổ phần Môi trường Đô thị Hà Đông,Công nghiệp,UPCOM
HHN,Công ty Cổ phần Vận tải và Dịch vụ Hàng hóa Hà Nội,Công nghiệp,UPCOM
MTL,Công ty Cổ phần Dịch vụ Môi trường Đô thị Từ Liêm,Công nghiệp,UPCOM
CMX,Công ty Cổ phần CAMIMEX Group,Hàng Tiêu dùng,HOSE
EMG,Công ty Cổ phần Thiết bị Phụ tùng Cơ điện,Công nghiệp,UPCOM
DDN,Công ty Cổ phần Dược - Thiết bị y tế Đà Nẵng,Dược phẩm và Y tế,UPCOM
ODE,Công ty cổ phần Tập đoàn Truyền thông và Giải trí ODE,Dịch vụ Tiêu dùng,UPCOM
HMR,Công ty Cổ phần Đá Hoàng Mai,Công nghiệp,HNX
TD6,Công ty Cổ Phần Than Đèo Nai - Cọc Sáu - TKV,Nguyên vật liệu,HNX
PCH,Công ty Cổ phần Nhựa Picomat,Nguyên vật liệu,HNX
NAU,Công ty Cổ phần Môi trường và Công trình Đô thị Nghệ An,Công nghiệp,UPCOM
MTP,Công ty Cổ phần Dược Medipharco,Dược phẩm và Y tế,UPCOM
NJC,Công ty Cổ phần May Nam Định,Hàng Tiêu dùng,UPCOM
HEV,Công ty Cổ phần Sách Đại học - Dạy nghề,Dịch vụ Tiêu dùng,HNX
HTI,Công ty Cổ phần Đầu tư Phát triển Hạ tầng IDICO,Công nghiệp,HOSE
HTL,Công ty Cổ phần Kỹ thuật và Ô tô Trường Long,Hàng Tiêu dùng,HOSE
BBC,Công ty Cổ phần Bibica,Hàng Tiêu dùng,HOSE
HD8,Công ty Cổ phần Đầu tư Phát triển Nhà và Đô thị HUD8,Tài chính,UPCOM
MWG,Công ty Cổ phần Đầu tư Thế Giới Di Động,Dịch vụ Tiêu dùng,HOSE
VLB,Công ty Cổ phần Xây dựng và Sản xuất Vật liệu Xây dựng Biên Hòa,Công nghiệp,UPCOM
CTF,Công ty Cổ phần City Auto,Hàng Tiêu dùng,HOSE
DWS,Công ty Cổ phần Cấp nước và Môi trường Đô thị Đồng Tháp,Tiện ích Cộng đồng,UPCOM
NDP,Công ty Cổ phần Dược phẩm 2/9,Dược phẩm và Y tế,UPCOM
CDP,Công ty Cổ phần Dược phẩm Trung ương Codupha,Dược phẩm và Y tế,UPCOM
NAC,Công ty Cổ phần Tư vấn Xây dựng Tổng hợp,Công nghiệp,UPCOM
DDH,Công ty Cổ phần Đảm bảo giao thông đường thủy Hải Phòng,Công nghiệp,UPCOM
NAP,Công ty Cổ phần Cảng Nghệ Tĩnh,Công nghiệp,HNX
BAB,Ngân hàng Thương mại Cổ phần Bắc Á,Ngân hàng,HNX
HGT,Công ty Cổ phần Du lịch Hương Giang,Dịch vụ Tiêu dùng,UPCOM
HCI,Công ty Cổ phần Đầu tư - Xây dựng Hà Nội,Công nghiệp,UPCOM
NAS,Công ty Cổ phần Dịch vụ Hàng không Sân bay Việt Nam,Công nghiệp,UPCOM
CTG,Ngân hàng Thương mại Cổ phần Công thương Việt Nam,Ngân hàng,HOSE
NAV,Công ty Cổ phần Nam Việt,Công nghiệp,HOSE
VET,Công ty Cổ phần Thuốc Thú y Trung ương NAVETCO,Nguyên vật liệu,UPCOM
SBG,Công ty Cổ Phần Tập Đoàn Cơ Khí Công Nghệ Cao Siba,Công nghiệp,HOSE
DPP,Công ty Cổ phần Dược Đồng Nai,Dược phẩm và Y tế,UPCOM
NBB,Công ty Cổ phần Đầu tư Năm Bảy Bảy,Tài chính,HOSE
BBM,Công ty Cổ phần Bia Hà Nội - Nam Định,Hàng Tiêu dùng,UPCOM
NBC,Công ty Cổ phần Than Núi Béo - Vinacomin,Nguyên vật liệu,HNX
FIC,Tổng Công ty Vật liệu Xây dựng số 1 - Công ty Cổ phần,Công nghiệp,UPCOM
CHP,Công ty Cổ phần Thủy điện Miền Trung,Tiện ích Cộng đồng,HOSE
NBP,Công ty Cổ phần Nhiệt Điện Ninh Bình,Tiện ích Cộng đồng,HNX
HPG,Công ty Cổ phần Tập đoàn Hòa Phát,Nguyên vật liệu,HOSE
FID,Công ty Cổ phần Đầu tư và Phát triển Doanh nghiệp Việt Nam,Công nghiệp,HNX
NBW,Công ty Cổ phần Cấp nước Nhà Bè,Tiện ích Cộng đồng,HNX
CI5,Công ty Cổ phần Đầu tư Xây dựng số 5,Công nghiệp,UPCOM
DNL,Công ty Cổ phần Logistics Cảng Đà Nẵng,Công nghiệp,UPCOM
DRG,Công ty Cổ phần Cao su Đắk Lắk,Nguyên vật liệu,UPCOM
DRI,Công ty Cổ phần Đầu tư Cao su Đắk Lắk,Nguyên vật liệu,UPCOM
BBT,Công ty Cổ phần Bông Bạch Tuyết,Hàng Tiêu dùng,UPCOM
NCS,Công ty Cổ phần Suất ăn Hàng không Nội Bài,Hàng Tiêu dùng,UPCOM
ACB,Ngân hàng Thương mại Cổ phần Á Châu,Ngân hàng,HOSE
IHK,Công ty Cổ phần In Hàng Không,Dịch vụ Tiêu dùng,UPCOM
CTS,Công ty Cổ phần Chứng khoán Ngân hàng Công thương Việt Nam,Tài chính,HOSE
HJS,Công ty Cổ phần Thủy điện Nậm Mu,Tiện ích Cộng đồng,HNX
ILS,Công ty Cổ phần Đầu tư Thương mại và Dịch vụ Quốc tế,Công nghiệp,UPCOM
CJC,Công ty Cổ phần Cơ điện Miền Trung,Công nghiệp,HNX
HAD,Công ty Cổ phần Bia Hà Nội - Hải Dương,Hàng Tiêu dùng,HNX
DC2,Công ty Cổ phần Đầu tư Phát triển - Xây dựng (DIC) số 2,Công nghiệp,HNX
HOT,Công ty Cổ phần Du lịch - Dịch vụ Hội An,Dịch vụ Tiêu dùng,UPCOM
HNI,Công ty Cổ phần May Hữu Nghị,Hàng Tiêu dùng,UPCOM
BMI,Tổng Công ty Cổ phần Bảo Minh,Tài chính,HOSE
ALV,Công ty Cổ phần Tập đoàn MCST,Công nghiệp,UPCOM
NCT,Công ty Cổ phần Dịch vụ Hàng hóa Nội Bài,Công nghiệp,HOSE
DHN,Công ty Cổ phần Dược phẩm Hà Nội,Dược phẩm và Y tế,UPCOM
GDT,Công ty Cổ phần Chế biến Gỗ Đức Thành,Hàng Tiêu dùng,HOSE
IFS,Công ty Cổ phần Thực phẩm Quốc tế,Hàng Tiêu dùng,UPCOM
ITD,Công ty Cổ phần Công nghệ ITD,Công nghệ Thông tin,HOSE
CPC,Công ty Cổ phần Thuốc sát trùng Cần Thơ,Nguyên vật liệu,HNX
DLR,Công ty Cổ phần Địa ốc Đà Lạt,Công nghiệp,UPCOM
DDG,Công ty Cổ phần Đầu tư Công nghiệp Xuất nhập khẩu Đông Dương,Tiện ích Cộng đồng,HNX
TUG,Công ty Cổ phần Lai dắt và Vận tải Cảng Hải Phòng,Công nghiệp,UPCOM
DHT,Công ty Cổ phần Dược phẩm Hà Tây,Dược phẩm và Y tế,HNX
DBT,Công ty Cổ phần Dược phẩm Bến Tre,Dược phẩm và Y tế,HOSE
HQC,Công ty Cổ phần Tư vấn - Thương mại - Dịch vụ Địa ốc Hoàng Quân,Tài chính,HOSE
HTG,Tổng Công ty Cổ phần Dệt may Hòa Thọ,Hàng Tiêu dùng,HOSE
MND,Công ty Cổ phần Môi trường Nam Định,Công nghiệp,UPCOM
HSL,Công ty Cổ phần Đầu tư Phát triển Thực phẩm Hồng Hà,Hàng Tiêu dùng,HOSE
C47,Công ty Cổ phần Xây dựng 47,Công nghiệp,HOSE
CLX,Công ty Cổ phần Xuất nhập khẩu và Đầu tư Chợ Lớn (CHOLIMEX),Hàng Tiêu dùng,UPCOM
CDR,Công ty Cổ phần Xây dựng Cao su Đồng Nai,Công nghiệp,UPCOM
NDF,Công ty Cổ phần Chế biến thực phẩm nông sản xuất khẩu Nam Định,Hàng Tiêu dùng,UPCOM
IBD,Công ty Cổ phần In Tổng hợp Bình Dương,Dịch vụ Tiêu dùng,UPCOM
HTV,Công ty Cổ phần Logistics Vicem,Công nghiệp,HOSE
DXL,Công ty Cổ phần Du lịch và Xuất nhập khẩu Lạng Sơn,Dịch vụ Tiêu dùng,UPCOM
CDG,Công ty Cổ phần Cầu Đuống,Công nghiệp,UPCOM
GEX,Công ty Cổ phần Tập đoàn Gelex,Công nghiệp,HOSE
HSA,Công ty Cổ phần HESTIA,Công nghiệp,UPCOM
KTC,Công ty Cổ phần Thương mại Kiên Giang,Hàng Tiêu dùng,UPCOM
GLW,Công ty Cổ phần Cấp thoát nước Gia Lai,Tiện ích Cộng đồng,UPCOM
HND,Công ty Cổ phần Nhiệt điện Hải Phòng,Tiện ích Cộng đồng,UPCOM
IDP,Công ty Cổ phần Sữa Quốc tế LOF,Hàng Tiêu dùng,UPCOM
BTU,Công ty Cổ phần Công trình Đô thị Bến Tre,Công nghiệp,UPCOM
EVG,Công ty Cổ phần Tập đoàn Everland,Công nghiệp,HOSE
BVS,Công ty Cổ phần Chứng khoán Bảo Việt,Tài chính,HNX
BWS,Công ty Cổ phần Cấp Nước Bà Rịa - Vũng Tàu,Tiện ích Cộng đồng,UPCOM
KSD,Công ty Cổ phần Đầu tư DNA,Hàng Tiêu dùng,HNX
HDA,Công ty Cổ phần Hãng sơn Đông Á,Công nghiệp,HNX
NDN,Công ty Cổ phần Đầu tư Phát triển Nhà Đà Nẵng,Tài chính,HNX
ADG,Công ty Cổ phần Clever Group,Dịch vụ Tiêu dùng,HOSE
KDH,Công ty Cổ phần Đầu tư và Kinh doanh nhà Khang Điền,Tài chính,HOSE
KLB,Ngân hàng Thương mại Cổ phần Kiên Long,Ngân hàng,UPCOM
IMP,Công ty Cổ phần Dược phẩm IMEXPHARM,Dược phẩm và Y tế,HOSE
HSG,Công ty Cổ phần Tập đoàn Hoa Sen,Nguyên vật liệu,HOSE
FRM,Công ty Cổ phần Lâm nghiệp Sài Gòn,Nguyên vật liệu,UPCOM
HLB,Công ty Cổ phần Bia và Nước giải khát Hạ Long,Hàng Tiêu dùng,UPCOM
NDW,Công ty Cổ phần Cấp nước Nam Định,Tiện ích Cộng đồng,UPCOM
KST,Công ty Cổ phần KASATI,Công nghệ Thông tin,HNX
FTI,Công ty Cổ phần Công nghiệp - Thương mại Hữu Nghị,Hàng Tiêu dùng,UPCOM
HHG,Công ty Cổ phần Hoàng Hà,Dịch vụ Tiêu dùng,UPCOM
ITC,Công ty Cổ phần Đầu tư - Kinh doanh nhà,Tài chính,HOSE
HTP,Công ty Cổ phần In Sách Giáo Khoa Hòa Phát,Dịch vụ Tiêu dùng,UPCOM
JVC,Công ty Cổ phần Đầu tư và Phát triển Y tế Việt Nhật,Dược phẩm và Y tế,HOSE
KHS,Công ty Cổ phần Kiên Hùng,Hàng Tiêu dùng,HNX
FTM,Công ty Cổ phần Đầu tư và Phát triển Đức Quân,Hàng Tiêu dùng,UPCOM
HBD,Công ty Cổ phần Bao bì PP Bình Dương,Công nghiệp,UPCOM
NGC,Công ty Cổ phần Chế biến Thủy sản Xuất khẩu Ngô Quyền,Hàng Tiêu dùng,UPCOM
HNM,Công ty Cổ phần Sữa Hà Nội,Hàng Tiêu dùng,UPCOM
DCF,Công ty Cổ phần Xây dựng và Thiết kế số 1,Công nghiệp,UPCOM
VBG,Công ty Cổ phần Địa chất Việt Bắc - TKV,Nguyên vật liệu,UPCOM
DTA,Công ty Cổ phần Đệ Tam,Tài chính,HOSE
HAG,Công ty Cổ phần Hoàng Anh Gia Lai,Hàng Tiêu dùng,HOSE
DTI,Công ty Cổ phần Đầu tư Đức Trung,Dịch vụ Tiêu dùng,UPCOM
DCG,Công ty Cổ phần Tổng Công ty May Đáp Cầu,Hàng Tiêu dùng,UPCOM
ILC,Công ty Cổ phần Hợp tác lao động với nước ngoài,Công nghiệp,UPCOM
HAM,Công ty Cổ phần Vật tư Hậu Giang,Công nghiệp,UPCOM
LHC,Công ty Cổ phần Đầu tư và Xây dựng Thủy lợi Lâm Đồng,Công nghiệp,HNX
ABR,Công ty Cổ phần Đầu tư Nhãn Hiệu Việt,Công nghiệp,HOSE
KWA,Công ty Cổ phần Cấp thoát nước và Môi trường Kiến Tường,Tiện ích Cộng đồng,UPCOM
LBE,Công ty Cổ phần Thương mại và Dịch vụ LVA,Hàng Tiêu dùng,HNX
DPG,Công ty Cổ phần Tập đoàn Đạt Phương,Công nghiệp,HOSE
BNW,Công ty Cổ phần Nước sạch Bắc Ninh,Tiện ích Cộng đồng,UPCOM
AGF,Công ty Cổ phần Xuất nhập khẩu Thủy sản An Giang,Hàng Tiêu dùng,UPCOM
LM3,Công ty Cổ phần Lilama 3,Công nghiệp,UPCOM
BT6,Công ty Cổ phần BETON 6,Công nghiệp,UPCOM
LNC,Công ty Cổ phần Lệ Ninh,Nguyên vật liệu,UPCOM
HVT,Công ty Cổ phần Hóa chất Việt Trì,Nguyên vật liệu,HNX
HJC,Công ty Cổ phần Hoà Việt,Hàng Tiêu dùng,UPCOM
LMC,Công ty Cổ phần Long Beach LMC,Nguyên vật liệu,UPCOM
LCG,Công ty Cổ phần Lizen,Công nghiệp,HOSE
HSM,Tổng Công ty Cổ phần Dệt May Hà Nội,Hàng Tiêu dùng,UPCOM
GTT,Công ty Cổ phần Thuận Thảo,Dịch vụ Tiêu dùng,UPCOM
MBB,Ngân hàng Thương mại Cổ phần Quân đội,Ngân hàng,HOSE
HBH,Công ty Cổ phần HABECO - Hải Phòng,Hàng Tiêu dùng,UPCOM
NHH,Công ty Cổ phần Nhựa Hà Nội,Nguyên vật liệu,HOSE
FOC,Công ty Cổ phần Dịch vụ Trực tuyến FPT,Dịch vụ Tiêu dùng,UPCOM
IVS,Công ty Cổ phần Chứng khoán Guotai Junan (Việt Nam),Tài chính,HNX
BIC,Tổng Công ty Cổ phần Bảo hiểm Ngân hàng Đầu tư và Phát triển Việt Nam,Tài chính,HOSE
CAT,Công ty Cổ phần Thủy sản Cà Mau,Hàng Tiêu dùng,UPCOM
EME,Công ty Cổ phần Điện Cơ,Công nghiệp,UPCOM
BLF,Công ty Cổ phần Thủy sản Bạc Liêu,Hàng Tiêu dùng,UPCOM
HDP,Công ty Cổ phần Dược Hà Tĩnh,Dược phẩm và Y tế,UPCOM
NHT,Công ty Cổ phần Sản xuất và Thương mại Nam Hoa,Hàng Tiêu dùng,HOSE
MKV,Công ty Cổ phần Dược Thú Y Cai Lậy,Dược phẩm và Y tế,HNX
HPP,Công ty Cổ phần Sơn Hải Phòng,Công nghiệp,UPCOM
LDG,Công ty Cổ phần Đầu tư LDG,Tài chính,HOSE
M10,Tổng công ty May 10 - Công ty Cổ phần,Hàng Tiêu dùng,UPCOM
CVT,Công ty Cổ phần CMC,Công nghiệp,HOSE
GDW,Công ty Cổ phần Cấp nước Gia Định,Tiện ích Cộng đồng,HNX
HHP,Công ty Cổ phần HHP Global,Nguyên vật liệu,HOSE
MPY,Công ty Cổ phần Môi trường đô thị Phú Yên,Công nghiệp,UPCOM
HPD,Công ty Cổ phần Thủy điện Đăk Đoa,Tiện ích Cộng đồng,UPCOM
L10,Công ty Cổ phần Lilama 10,Công nghiệp,HOSE
MPT,Công ty Cổ phần Tập đoàn MPT,Hàng Tiêu dùng,UPCOM
GSP,Công ty Cổ phần Vận tải Sản phẩm Khí Quốc tế,Công nghiệp,HOSE
BVB,Ngân hàng Thương mại Cổ phần Bản Việt,Ngân hàng,UPCOM
NAG,Công ty Cổ phần Tập đoàn Nagakawa,Công nghiệp,HNX
GEE,Công ty Cổ phần Điện lực Gelex,Công nghiệp,HOSE
HAF,Công ty Cổ phần Thực phẩm Hà Nội,Hàng Tiêu dùng,UPCOM
HTT,Công ty Cổ phần Thương mại Hà Tây,Dịch vụ Tiêu dùng,UPCOM
CNT,Công ty Cổ phần Tập đoàn CNT,Tài chính,UPCOM
HAN,Tổng Công ty Xây dựng Hà Nội - CTCP,Công nghiệp,UPCOM
BHC,Công ty Cổ phần Bê tông Biên Hòa,Công nghiệp,UPCOM
HFC,Công ty Cổ phần Xăng dầu HFC,Tiện ích Cộng đồng,UPCOM
HVX,Công ty Cổ phần Xi măng Vicem Hải Vân,Công nghiệp,HOSE
HHS,Công ty Cổ phần Đầu tư Dịch vụ Hoàng Huy,Hàng Tiêu dùng,HOSE
NET,Công ty Cổ phần Bột giặt Net,Hàng Tiêu dùng,HNX
DKC,Công ty Cổ phần Chợ Lạng Sơn,Dịch vụ Tiêu dùng,UPCOM
MIG,Tổng Công ty Cổ phần Bảo hiểm Quân đội,Tài chính,HOSE
PCT,Công ty Cổ phần Vận tải Biển Global Pacific,Công nghiệp,HNX
NBE,Công ty Cổ phần Sách và Thiết bị Giáo dục Miền Bắc,Dịch vụ Tiêu dùng,UPCOM
CCI,Công ty Cổ phần Đầu tư Phát triển Công nghiệp Thương mại Củ Chi,Tiện ích Cộng đồng,HOSE
NED,Công ty Cổ phần Đầu tư và Phát triển Điện Tây Bắc,Công nghiệp,UPCOM
IJC,Công ty Cổ phần Phát triển Hạ tầng Kỹ thuật,Tài chính,HOSE
DXP,Công ty Cổ phần Cảng Đoạn Xá,Công nghiệp,HNX
NRC,Công ty Cổ phần Tập đoàn NRC,Tài chính,HNX
NFC,Công ty Cổ phần Phân lân Ninh Bình,Nguyên vật liệu,HNX
PMB,Công ty Cổ phần Phân bón và Hóa chất Dầu khí Miền Bắc,Nguyên vật liệu,HNX
NOS,Công ty Cổ phần Vận tải Biển và Thương mại Phương Đông,Công nghiệp,UPCOM
HUG,Tổng công ty May Hưng Yên - Công ty Cổ phần,Hàng Tiêu dùng,UPCOM
VCE,Công ty Cổ phần Xây lắp Môi trường,Công nghiệp,UPCOM
DHA,Công ty Cổ phần Hóa An,Công nghiệp,HOSE
CLL,Công ty Cổ phần Cảng Cát Lái,Công nghiệp,HOSE
NQB,Công ty Cổ phần Cấp nước Quảng Bình,Tiện ích Cộng đồng,UPCOM
AMP,Công ty Cổ phần Armephaco,Dược phẩm và Y tế,UPCOM
H11,Công ty Cổ phần Xây dựng HUD101,Công nghiệp,UPCOM
NHP,Công ty Cổ phần Sản xuất Xuất nhập khẩu NHP,Công nghiệp,UPCOM
DIG,Tổng Công ty Cổ phần Đầu tư Phát triển Xây dựng,Tài chính,HOSE
NS2,Công ty Cổ phần Nước sạch số 2 Hà Nội,Tiện ích Cộng đồng,UPCOM
HU4,Công ty Cổ phần Đầu tư và Xây dựng HUD4,Công nghiệp,UPCOM
CCP,Công ty Cổ phần Cảng Cửa Cấm Hải Phòng,Công nghiệp,UPCOM
IDJ,Công ty Cổ phần Đầu tư IDJ Việt Nam,Tài chính,HNX
NSC,Công ty Cổ phần Tập đoàn Giống cây trồng Việt Nam,Hàng Tiêu dùng,HOSE
NHV,Công ty Cổ phần Sức khỏe Hồi sinh Việt Nam,Nguyên vật liệu,UPCOM
HDW,Công ty Cổ phần Kinh doanh Nước sạch Hải Dương,Tiện ích Cộng đồng,UPCOM
HAP,Công ty Cổ phần Tập Đoàn Hapaco,Nguyên vật liệu,HOSE
IST,Công ty Cổ phần ICD Tân Cảng Sóng Thần,Công nghiệp,UPCOM
ITS,"Công ty Cổ phần Đầu tư, Thương mại và Dịch vụ - Vinacomin",Công nghiệp,UPCOM
L45,Công ty Cổ phần Lilama 45.1,Công nghiệp,UPCOM
CTX,Tổng Công ty Cổ phần Đầu tư Xây dựng và Thương mại Việt Nam,Công nghiệp,UPCOM
NST,Công ty Cổ phần Ngân Sơn,Hàng Tiêu dùng,HNX
NTB,Công ty Cổ phần Đầu tư Xây dựng và Khai thác Công trình giao thông 584,Tài chính,UPCOM
NTC,Công ty Cổ phần Khu Công nghiệp Nam Tân Uyên,Tài chính,HOSE
NLS,Công ty Cổ phần Cấp thoát nước Lạng Sơn,Tiện ích Cộng đồng,UPCOM
NAB,Ngân hàng Thương mại Cổ phần Nam Á,Ngân hàng,HOSE
NNC,Công ty Cổ phần Đá Núi Nhỏ,Công nghiệp,HOSE
NTL,Công ty Cổ phần Phát triển Đô thị Từ Liêm,Tài chính,HOSE
NVL,Công ty Cổ phần Tập đoàn Đầu tư Địa ốc No Va,Tài chính,HOSE
HD6,Công ty Cổ phần Đầu tư và Phát triển nhà số 6 Hà Nội,Tài chính,UPCOM
NUE,Công ty Cổ phần Môi trường Đô thị Nha Trang,Công nghiệp,UPCOM
NTW,Công ty Cổ phần Cấp nước Nhơn Trạch,Tiện ích Cộng đồng,UPCOM
LIX,Công ty Cổ phần Bột Giặt LIX,Hàng Tiêu dùng,HOSE
PSH,Công ty Cổ phần Thương mại Đầu tư Dầu khí Nam Sông Hậu,Tiện ích Cộng đồng,UPCOM
DGW,Công ty Cổ phần Thế Giới Số,Dịch vụ Tiêu dùng,HOSE
ITA,Công ty Cổ phần Đầu tư và Công nghiệp Tân Tạo,Tài chính,UPCOM
LM8,Công ty Cổ phần Lilama 18,Công nghiệp,HOSE
NT2,Công ty Cổ phần Điện lực Dầu khí Nhơn Trạch 2,Tiện ích Cộng đồng,HOSE
HU3,Công ty Cổ phần Đầu tư và Xây dựng HUD3,Công nghiệp,UPCOM
HTE,Công ty Cổ phần Đầu tư Kinh doanh Điện lực Thành phố Hồ Chí Minh,Tiện ích Cộng đồng,UPCOM
HPW,Công ty Cổ phần Cấp nước Hải Phòng,Tiện ích Cộng đồng,UPCOM
